Chlamydia_abortus_strain_162STDY5437294	Chlamydia_muridarum_str._Nigg_isolate_CM009
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_psittaci_01DC11
Chlamydia_avium_10DC88	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_caviae_GPIC	Chlamydia_psittaci_6BC
Chlamydia_crocodili_strain_No._12	Chlamydia_trachomatis_strain_tet9
Chlamydia_gallinacea_08-12743	Chlamydia_suis_isolate_4-29b
Chlamydia_muridarum_str._Nigg_isolate_CM001	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_muridarum_str._Nigg_isolate_CM009	Chlamydia_psittaci_strain_Ful127
Chlamydia_pecorum_E58	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_01DC11	Chlamydia_trachomatis_L2b820007
Chlamydia_psittaci_WSRTE30	Chlamydia_psittaci_strain_GIMC_2005CpsCP1
Chlamydia_psittaci_strain_GIMC_2003Cps25SM	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_psittaci_strain_NRM_isolate_NRM_5	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_trachomatis_L2b820007	Chlamydia_trachomatis_strain_tet9
