Genome,X,Y,Cluster
Chlamydia_gallinacea_08-12743,-0.5279975010483747,0.5893825956993849,3
Chlamydia_muridarum_str._Nigg_isolate_CM009,0.5182481150057745,0.26175929493218403,1
Chlamydia_crocodili_strain_No._12,-0.39182518259975274,0.25546849756055123,2
Chlamydia_psittaci_01DC11,-0.38878187195225516,-0.20648911740502604,2
Chlamydia_muridarum_str._Nigg_isolate_CM008,0.5182481150057756,0.26175929493218414,1
Chlamydia_abortus_strain_GIMC_2006CabB577,-0.3849755209194815,-0.17360136245193886,2
Chlamydia_muridarum_str._Nigg_isolate_CM001,0.5182481150057755,0.26175929493218414,1
Chlamydia_felis_FeC-56,-0.15540238476056442,-0.1317255182450838,2
Chlamydia_buteonis_strain_IDL17-4553,-0.42103890314560966,0.07298614338470136,2
Chlamydia_abortus_strain_NL2354-2D,-0.3895450151892474,-0.17025350109589224,2
Chlamydia_avium_10DC88,-0.49439700003756837,0.7908331452712871,3
Chlamydia_abortus_strain_162STDY5437294,-0.38559367450039694,-0.17528534395141787,2
Chlamydia_psittaci_6BC,-0.3805975189931145,-0.23423450889190145,2
Chlamydia_pecorum_E58,0.006922968313800359,0.7171438686346071,1
Chlamydia_muridarum_str._Nigg_isolate_CM021,0.5182481150057755,0.26175929493218414,1
Chlamydia_abortus_strain_NL2335-4C,-0.3895450151892473,-0.17025350109589224,2
Chlamydia_muridarum_str._Nigg,0.5197491564684636,0.2625215651106423,1
Chlamydia_caviae_GPIC,-0.303358506837004,0.01934584997484056,2
Chlamydia_poikilotherma_strain_S15-834K,-0.36102308232760155,0.19673940762027411,2
Chlamydia_abortus_strain_1B_cevac,-0.38559367450039694,-0.17528534395141787,2
Chlamydia_trachomatis_L2b820007,0.6914484148172734,-0.14938726283120393,4
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,-0.3806906404184089,-0.2336699098810625,2
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,-0.3806906404184089,-0.2336699098810625,2
Chlamydia_psittaci_strain_Ful127,-0.3717181051759381,-0.2315850609381852,2
Chlamydia_trachomatis_L1115,0.6858138269542827,-0.14970179907908943,4
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,-0.37991509637629883,-0.2493820908806552,2
Chlamydia_psittaci_strain_AMK,-0.38981596586001205,-0.17304725416549324,2
Chlamydia_trachomatis_strain_E-32931,0.6488524625612597,-0.15119916553210752,4
Chlamydia_trachomatis_RC-L255,0.6757397574024,-0.1538946327976203,4
Chlamydia_trachomatis_EBour,0.6488524625612597,-0.15119916553210752,4
Chlamydia_trachomatis_strain_QH111L,0.6794594812392637,-0.11304635137239097,4
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,-0.3806906404184089,-0.2336699098810625,2
Chlamydia_psittaci_MN,-0.37684736764201376,-0.24641963627534402,2
Chlamydia_suis_isolate_4-29b,0.5901812683210007,0.15663741625004438,1
Chlamydia_psittaci_WSRTE30,-0.3652441797267804,-0.2307050482918358,2
Chlamydia_trachomatis_strain_tet9,0.684616940714658,-0.15143207321094507,4
Chlamydia_trachomatis_L2bUCH-2,0.6914484148172734,-0.14938726283120393,4
Chlamydia_trachomatis_A2497,0.6722629623713691,-0.09660039099194753,4
Chlamydophila_parapsittaci_strain_Rostinovo-70,-0.38981596586001205,-0.17304725416549327,2
Chlamydia_serpentis_strain_H15-1957-10C,-0.4932371226685134,0.600076706392313,3
