OG_name,CAI_mean,CAI_std
OG_0,0.633,0.018
OG_1,0.629,0.018
OG_2,0.666,0.021
OG_3,0.655,0.02
OG_4,0.666,0.017
OG_5,0.653,0.019
OG_6,0.634,0.009
OG_7,0.63,0.006
OG_8,0.624,0.018
OG_9,0.678,0.022
OG_10,0.671,0.025
OG_11,0.616,0.02
OG_12,0.607,0.024
OG_13,0.66,0.019
OG_14,0.614,0.008
OG_15,0.636,0.012
OG_16,0.639,0.017
OG_17,0.638,0.037
OG_18,0.614,0.019
OG_19,0.624,0.012
OG_20,0.612,0.019
OG_21,0.66,0.047
OG_22,0.612,0.021
OG_23,0.609,0.025
OG_24,0.617,0.035
OG_25,0.623,0.017
OG_26,0.638,0.012
OG_27,0.638,0.012
OG_28,0.608,0.023
OG_29,0.636,0.009
OG_30,0.669,0.03
OG_31,0.639,0.019
OG_32,0.702,0.021
OG_33,0.633,0.015
OG_34,0.62,0.022
OG_35,0.676,0.015
OG_36,0.705,0.016
OG_37,0.644,0.012
OG_38,0.632,0.008
OG_39,0.635,0.012
OG_40,0.632,0.013
OG_41,0.616,0.024
OG_42,0.654,0.041
OG_43,0.644,0.045
OG_44,0.659,0.02
OG_45,0.674,0.018
OG_46,0.653,0.023
OG_47,0.642,0.025
OG_48,0.67,0.017
OG_49,0.628,0.017
OG_50,0.639,0.022
OG_51,0.641,0.01
OG_52,0.633,0.013
OG_53,0.622,0.024
OG_54,0.602,0.014
OG_55,0.619,0.011
OG_56,0.637,0.016
OG_57,0.603,0.013
OG_58,0.63,0.03
OG_59,0.61,0.022
OG_60,0.608,0.017
OG_61,0.636,0.017
OG_62,0.605,0.018
OG_63,0.634,0.009
OG_64,0.606,0.007
OG_65,0.596,0.0
OG_66,0.637,0.001
OG_67,0.635,0.008
OG_68,0.599,0.02
OG_69,0.587,0.0
OG_70,0.622,0.019
OG_71,0.609,0.018
OG_72,0.675,0.024
OG_73,0.642,0.016
OG_74,0.638,0.014
OG_75,0.637,0.017
OG_76,0.678,0.023
OG_77,0.638,0.021
OG_78,0.658,0.013
OG_79,0.661,0.023
OG_80,0.624,0.019
OG_81,0.63,0.02
OG_82,0.53,0.026
OG_83,0.544,0.0
