Genome,X,Y,Cluster
Chlamydia_abortus_strain_162STDY5437294,-0.3890900843340282,-0.15905784657487232,2
Chlamydia_avium_10DC88,-0.46021007119621643,0.8160378644692389,1
Chlamydia_abortus_strain_GIMC_2006CabB577,-0.3884549934721785,-0.15746776606960608,2
Chlamydia_abortus_strain_1B_cevac,-0.38909008433402825,-0.15905784657487232,2
Chlamydia_abortus_strain_NL2354-2D,-0.3907573676774782,-0.15596158811199223,2
Chlamydia_abortus_strain_NL2335-4C,-0.3907573676774783,-0.15596158811199226,2
Chlamydia_muridarum_str._Nigg_isolate_CM021,0.5238587900664607,0.24475181992762127,3
Chlamydia_buteonis_strain_IDL17-4553,-0.4019979544970337,0.028513411550428452,2
Chlamydia_muridarum_str._Nigg_isolate_CM009,0.5238587900664606,0.24475181992762127,3
Chlamydia_muridarum_str._Nigg_isolate_CM008,0.5238587900664606,0.24475181992762127,3
Chlamydia_muridarum_str._Nigg,0.5252289898740893,0.2454450772749772,3
Chlamydia_gallinacea_08-12743,-0.4983362043456056,0.6187409421602218,1
Chlamydia_crocodili_strain_No._12,-0.3654110343577818,0.21244525947483062,2
Chlamydia_caviae_GPIC,-0.29899042328046765,-0.04007604941802324,2
Chlamydia_pecorum_E58,0.031952498660329634,0.678869393186885,1
Chlamydia_felis_FeC-56,-0.17522019695256735,-0.14327650916559076,2
Chlamydia_muridarum_str._Nigg_isolate_CM001,0.5238587900664606,0.24475181992762127,3
Chlamydia_poikilotherma_strain_S15-834K,-0.34310630633015027,0.14287446318205602,2
Chlamydia_psittaci_6BC,-0.3896710688661088,-0.2148287491556184,2
Chlamydia_psittaci_strain_AMK,-0.38951890547933316,-0.15736562239420693,2
Chlamydia_psittaci_MN,-0.38349107817832395,-0.228231916329074,2
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,-0.3897568200375652,-0.21432596970187442,2
Chlamydia_psittaci_strain_Ful127,-0.3809447988070476,-0.21247192020725278,2
Chlamydia_psittaci_01DC11,-0.39942621336113093,-0.18582883995852995,2
Chlamydia_suis_isolate_4-29b,0.6216070744385416,0.1535313313556583,3
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,-0.3897568200375652,-0.21432596970187442,2
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,-0.3897568200375652,-0.21432596970187442,2
Chlamydia_psittaci_WSRTE30,-0.37585252869940605,-0.2111648222395564,2
Chlamydia_serpentis_strain_H15-1957-10C,-0.47064771473834005,0.6283253539895648,1
Chlamydia_trachomatis_A2497,0.6673315024738626,-0.10040488767467698,4
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,-0.38618159268101426,-0.23076169624804171,2
Chlamydia_trachomatis_L1115,0.673515007974103,-0.15327290624589793,4
Chlamydia_trachomatis_L2b820007,0.6718885747962836,-0.15188829627062386,4
Chlamydia_trachomatis_L2bUCH-2,0.6718885747962836,-0.1518882962706239,4
Chlamydia_trachomatis_strain_E-32931,0.6346252596766928,-0.15461736017987196,4
Chlamydia_trachomatis_EBour,0.6346252596766928,-0.15461736017987196,4
Chlamydophila_parapsittaci_strain_Rostinovo-70,-0.38951890547933316,-0.15736562239420693,2
Chlamydia_trachomatis_strain_tet9,0.6644558868777661,-0.15375394771836595,4
Chlamydia_trachomatis_strain_QH111L,0.6813140669469252,-0.11630764669797812,4
Chlamydia_trachomatis_RC-L255,0.6520774984003328,-0.15518338305737442,4
