Genome,X,Y,Cluster
Chlamydia_muridarum_str._Nigg_isolate_CM021,0.4948300475573497,-0.2142247258018701,3
Chlamydia_psittaci_6BC,-0.3868715441022751,0.1087589769579823,1
Chlamydia_muridarum_str._Nigg_isolate_CM008,0.4948300475573497,-0.21422472580186971,3
Chlamydia_muridarum_str._Nigg_isolate_CM001,0.4948300475573497,-0.21422472580186971,3
Chlamydia_poikilotherma_strain_S15-834K,-0.39014158968471313,-0.17914805817645502,1
Chlamydia_psittaci_MN,-0.3849134445794534,0.09970814954966738,1
Chlamydia_crocodili_strain_No._12,-0.4211358557105306,-0.19632011321988235,1
Chlamydia_abortus_strain_NL2335-4C,-0.38606661105990675,0.15857372379440032,1
Chlamydia_caviae_GPIC,-0.30264886615353387,0.08010237034469585,1
Chlamydia_gallinacea_08-12743,-0.5755347579191389,-0.4191399012545803,1
Chlamydia_abortus_strain_NL2354-2D,-0.38606661105990675,0.15857372379440032,1
Chlamydia_abortus_strain_1B_cevac,-0.38217723597942327,0.1592314722252165,1
Chlamydia_abortus_strain_GIMC_2006CabB577,-0.3817656335916196,0.15731148621209268,1
Chlamydia_avium_10DC88,-0.5436850421296276,-0.4932402018034342,1
Chlamydia_buteonis_strain_IDL17-4553,-0.43774022603916124,-0.05074408471113134,1
Chlamydia_felis_FeC-56,-0.1510447295978567,0.1366813223801478,1
Chlamydia_muridarum_str._Nigg_isolate_CM009,0.49483004755734983,-0.21422472580187005,3
Chlamydia_abortus_strain_162STDY5437294,-0.3821772359794232,0.1592314722252165,1
Chlamydia_muridarum_str._Nigg,0.49635837048709947,-0.2143637623155764,3
Chlamydia_pecorum_E58,-0.008022880858576926,-0.25262255041435555,3
Chlamydia_psittaci_strain_Ful127,-0.3776816304948079,0.1094773017853038,1
Chlamydia_psittaci_01DC11,-0.39302111158651937,0.1150892486879434,1
Chlamydia_psittaci_strain_AMK,-0.39871006273394516,0.07324564685601125,1
Chlamydia_trachomatis_EBour,0.6283544880352356,-0.08324659245760069,2
Chlamydia_suis_isolate_4-29b,0.5819513048922829,-0.08359030849730664,3
Chlamydia_psittaci_strain_NRM_isolate_NRM_5,-0.3880361096642197,0.10031162868967905,1
Chlamydia_serpentis_strain_H15-1957-10C,-0.5280170482327147,-0.33257779091965456,1
Chlamydia_psittaci_strain_GIMC_2005CpsCP1,-0.3869258923033949,0.10885244721060071,1
Chlamydia_psittaci_strain_GIMC_2004CpsAP23,-0.3869258923033949,0.10885244721060071,1
Chlamydia_trachomatis_RC-L255,0.6547855128319696,-0.08772344919759271,2
Chlamydia_trachomatis_A2497,0.6493454318472796,-0.11841101777560067,2
Chlamydia_trachomatis_L2bUCH-2,0.6708038867496183,-0.08823159078524355,2
Chlamydia_trachomatis_strain_tet9,0.6642525171096283,-0.08497456936713779,2
Chlamydia_trachomatis_L2b820007,0.6708038867496183,-0.08823159078524358,2
Chlamydia_psittaci_strain_GIMC_2003Cps25SM,-0.3869258923033949,0.10885244721060074,1
Chlamydia_trachomatis_strain_E-32931,0.6283544880352355,-0.08324659245760073,2
Chlamydophila_parapsittaci_strain_Rostinovo-70,-0.39871006273394516,0.07324564685601126,1
Chlamydia_trachomatis_strain_QH111L,0.655622422064122,-0.12063610610895872,2
Chlamydia_trachomatis_L1115,0.6654500406522087,-0.08572420657582085,2
Chlamydia_psittaci_WSRTE30,-0.3679364032769037,0.11617069025893302,1
Waddlia_chondrophila_WSU_86-1044,0.5874798303946874,1.7868011877811587,4
